"simID","p","dhat"
2232,0.83,0.166025641025641
2233,0.83,0.161282051282051
2234,0.83,0.163846153846154
2235,0.83,0.16474358974359
2236,0.83,0.164230769230769
2237,0.83,0.173205128205128
2238,0.83,0.166282051282051
2239,0.83,0.164358974358974
2240,0.83,0.170897435897436
2241,0.83,0.162307692307692
2242,0.83,0.167564102564103
2243,0.83,0.167051282051282
2244,0.83,0.161282051282051
2245,0.83,0.162692307692308
2246,0.83,0.165512820512821
2247,0.83,0.171153846153846
2248,0.83,0.169615384615385
2249,0.83,0.165128205128205
2250,0.83,0.166025641025641
2251,0.83,0.162435897435897
2252,0.83,0.162564102564103
2253,0.83,0.168846153846154
2254,0.83,0.161025641025641
2255,0.83,0.163846153846154
2256,0.83,0.16525641025641
2257,0.83,0.163461538461538
2258,0.83,0.156538461538462
2259,0.83,0.164358974358974
2260,0.83,0.163076923076923
2261,0.83,0.168846153846154
2262,0.83,0.158717948717949
2263,0.83,0.168717948717949
2264,0.83,0.160512820512821
2265,0.83,0.167564102564103
2266,0.83,0.163076923076923
2267,0.83,0.147948717948718
2268,0.83,0.172820512820513
2269,0.83,0.165384615384615
2270,0.83,0.171153846153846
2271,0.83,0.166666666666667
2272,0.83,0.160384615384615
2273,0.83,0.160641025641026
2274,0.83,0.169871794871795
2275,0.83,0.167051282051282
2276,0.83,0.165384615384615
2277,0.83,0.161666666666667
2278,0.83,0.168333333333333
2279,0.83,0.162820512820513
2280,0.83,0.177564102564103
2281,0.83,0.173589743589744
2282,0.83,0.16525641025641
2283,0.83,0.173846153846154
2284,0.83,0.169230769230769
2285,0.83,0.171282051282051
2286,0.83,0.163205128205128
2287,0.83,0.167692307692308
2288,0.83,0.164230769230769
2289,0.83,0.160384615384615
2290,0.83,0.171025641025641
2291,0.83,0.168205128205128
2292,0.83,0.162948717948718
2293,0.83,0.166410256410256
2294,0.83,0.161794871794872
2295,0.83,0.163589743589744
2296,0.83,0.167307692307692
2297,0.83,0.171923076923077
2298,0.83,0.159230769230769
2299,0.83,0.167051282051282
2300,0.83,0.163717948717949
2301,0.83,0.176282051282051
2302,0.83,0.165
2303,0.83,0.161923076923077
2304,0.83,0.168461538461538
2305,0.83,0.166282051282051
2306,0.83,0.172051282051282
2307,0.83,0.166410256410256
2308,0.83,0.160384615384615
2309,0.83,0.166666666666667
2310,0.83,0.172820512820513
2311,0.83,0.165641025641026
2312,0.83,0.174871794871795
2313,0.83,0.171282051282051
2314,0.83,0.166153846153846
2315,0.83,0.171538461538462
2316,0.83,0.175769230769231
2317,0.83,0.16
2318,0.83,0.165128205128205
2319,0.83,0.168205128205128
2320,0.83,0.167948717948718
2321,0.83,0.162820512820513
2322,0.83,0.17025641025641
2323,0.83,0.174487179487179
2324,0.83,0.161666666666667
2325,0.83,0.165512820512821
2326,0.83,0.163076923076923
2327,0.83,0.170128205128205
2328,0.83,0.167435897435897
2329,0.83,0.156538461538462
2330,0.83,0.165512820512821
2331,0.83,0.162051282051282
2332,0.83,0.166025641025641
2333,0.83,0.158461538461538
2334,0.83,0.166666666666667
2335,0.83,0.165512820512821
2336,0.83,0.168461538461538
2337,0.83,0.17025641025641
2338,0.83,0.164615384615385
2339,0.83,0.158589743589744
2340,0.83,0.172307692307692
2341,0.83,0.174871794871795
2342,0.83,0.170769230769231
2343,0.83,0.169487179487179
2344,0.83,0.167179487179487
2345,0.83,0.162948717948718
2346,0.83,0.171794871794872
2347,0.83,0.169230769230769
2348,0.83,0.169102564102564
2349,0.83,0.161153846153846
2350,0.83,0.164615384615385
2351,0.83,0.160641025641026
2352,0.83,0.16974358974359
2353,0.83,0.170769230769231
2354,0.83,0.162820512820513
2355,0.83,0.170769230769231
2356,0.83,0.163974358974359
2357,0.83,0.166538461538462
2358,0.83,0.161153846153846
2359,0.83,0.166666666666667
2360,0.83,0.161410256410256
2361,0.83,0.165384615384615
2362,0.83,0.170128205128205
2363,0.83,0.163717948717949
2364,0.83,0.158717948717949
2365,0.83,0.166538461538462
2366,0.83,0.172820512820513
2367,0.83,0.161666666666667
2368,0.83,0.167179487179487
2369,0.83,0.165
2370,0.83,0.167820512820513
2371,0.83,0.164102564102564
2372,0.83,0.167820512820513
2373,0.83,0.162692307692308
2374,0.83,0.168205128205128
2375,0.83,0.161538461538462
2376,0.83,0.165
2377,0.83,0.170384615384615
2378,0.83,0.169615384615385
2379,0.83,0.161794871794872
2380,0.83,0.166538461538462
2381,0.83,0.172307692307692
2382,0.83,0.161153846153846
2383,0.83,0.163076923076923
2384,0.83,0.167564102564103
2385,0.83,0.168717948717949
2386,0.83,0.166410256410256
2387,0.83,0.163076923076923
2388,0.83,0.170512820512821
2389,0.83,0.163205128205128
2390,0.83,0.168205128205128
2391,0.83,0.165769230769231
2392,0.83,0.167307692307692
2393,0.83,0.161025641025641
2394,0.83,0.17025641025641
2395,0.83,0.168205128205128
2396,0.83,0.169358974358974
2397,0.83,0.172820512820513
2398,0.83,0.169871794871795
2399,0.83,0.157307692307692
2400,0.83,0.17
2401,0.83,0.164615384615385
2402,0.83,0.16448717948718
2403,0.83,0.167692307692308
2404,0.83,0.162307692307692
2405,0.83,0.174358974358974
2406,0.83,0.166923076923077
2407,0.83,0.163589743589744
2408,0.83,0.167820512820513
2409,0.83,0.170512820512821
2410,0.83,0.166538461538462
2411,0.83,0.162435897435897
2412,0.83,0.164230769230769
2413,0.83,0.166923076923077
2414,0.83,0.17
2415,0.83,0.171794871794872
2416,0.83,0.166538461538462
2417,0.83,0.17025641025641
2418,0.83,0.170384615384615
2419,0.83,0.165769230769231
2420,0.83,0.169871794871795
2421,0.83,0.160897435897436
2422,0.83,0.169358974358974
2423,0.83,0.166666666666667
2424,0.83,0.168846153846154
2425,0.83,0.168589743589744
2426,0.83,0.158974358974359
2427,0.83,0.169871794871795
2428,0.83,0.166666666666667
2429,0.83,0.171794871794872
2430,0.83,0.159615384615385
2431,0.83,0.159615384615385
2432,0.83,0.165512820512821
2433,0.83,0.163717948717949
2434,0.83,0.16474358974359
2435,0.83,0.167307692307692
